OFFENSE,WARD,LATITUDE,LONGITUDE
THEFT/OTHER,2,38.9144622117,-77.0319532915
MOTOR VEHICLE THEFT,6,38.8802726913,-76.9915334967
THEFT/OTHER,2,38.9046915572,-77.0345725582
THEFT F/AUTO,2,38.9129714411,-77.0239682437
ASSAULT W/DANGEROUS WEAPON,6,38.9076427724,-77.0090530223
ROBBERY,5,38.9345381126,-76.9647798805
THEFT/OTHER,2,38.9099274291,-77.0436069637
MOTOR VEHICLE THEFT,6,38.8972039407,-77.0083879302
ASSAULT W/DANGEROUS WEAPON,5,38.9032551968,-76.9730337496
THEFT/OTHER,1,38.9162802028,-77.0239665883
ROBBERY,7,38.8956388439,-76.9519688894
THEFT/OTHER,1,38.9358421632,-77.035190314
THEFT/OTHER,1,38.9154096776,-77.046302846
THEFT F/AUTO,5,38.9205945002,-76.9653689935
THEFT F/AUTO,5,38.9030322913,-76.9908499149
THEFT F/AUTO,7,38.8866095228,-76.9338870362
ASSAULT W/DANGEROUS WEAPON,8,38.8204046167,-77.0070964459
THEFT/OTHER,5,38.9037140513,-76.9785339635
MOTOR VEHICLE THEFT,7,38.8868847503,-76.9268286031
ASSAULT W/DANGEROUS WEAPON,5,38.921693792,-76.9841734339
ROBBERY,8,38.8300815919,-76.9961765738
THEFT/OTHER,6,38.9037338029,-77.0175499408
MOTOR VEHICLE THEFT,5,38.9208048561,-76.9696202304
THEFT F/AUTO,2,38.9103857723,-77.0308962514
THEFT F/AUTO,2,38.91371958,-77.0365124293
THEFT/OTHER,2,38.9010110345,-77.045776453
MOTOR VEHICLE THEFT,7,38.8916446159,-76.9529060902
THEFT F/AUTO,2,38.9159503468,-77.0728313561
THEFT/OTHER,2,38.905199041,-77.0408563583
THEFT F/AUTO,6,38.9037338029,-77.0175499408
ROBBERY,7,38.9028763096,-76.9342313079
THEFT F/AUTO,4,38.9748378665,-77.014324859
ROBBERY,5,38.9542824104,-77.0073493973
THEFT F/AUTO,5,38.9367075708,-76.9907956504
THEFT F/AUTO,3,38.9448047465,-77.1010886415
