cnt,OFFENSE,PSA
943,THEFT/OTHER,207
909,THEFT/OTHER,106
866,THEFT/OTHER,302
842,THEFT/OTHER,208
813,THEFT/OTHER,307
787,THEFT/OTHER,209
778,THEFT F/AUTO,305
756,THEFT/OTHER,104
752,THEFT/OTHER,206
716,THEFT F/AUTO,208
705,THEFT/OTHER,305
695,THEFT/OTHER,505
631,THEFT/OTHER,303
620,THEFT F/AUTO,503
616,THEFT/OTHER,501
572,THEFT F/AUTO,501
555,THEFT F/AUTO,307
551,THEFT F/AUTO,401
550,THEFT F/AUTO,206
523,THEFT/OTHER,404
518,THEFT/OTHER,107
481,THEFT/OTHER,507
480,THEFT/OTHER,506
459,THEFT/OTHER,101
439,THEFT/OTHER,308
426,THEFT/OTHER,203
403,THEFT/OTHER,204
403,THEFT F/AUTO,502
401,THEFT/OTHER,301
400,THEFT/OTHER,108
400,THEFT/OTHER,202
400,THEFT/OTHER,603
399,THEFT F/AUTO,207
390,THEFT F/AUTO,506
383,THEFT F/AUTO,104
373,THEFT F/AUTO,602
366,THEFT/OTHER,304
363,THEFT F/AUTO,404
351,THEFT/OTHER,503
350,THEFT F/AUTO,607
341,THEFT F/AUTO,302
336,THEFT F/AUTO,406
334,THEFT/OTHER,502
333,THEFT F/AUTO,304
330,THEFT F/AUTO,106
321,THEFT F/AUTO,308
321,THEFT F/AUTO,108
316,THEFT F/AUTO,405
316,THEFT F/AUTO,303
314,THEFT F/AUTO,504
310,THEFT F/AUTO,507
308,THEFT/OTHER,602
301,MOTOR VEHICLE THEFT,501
299,THEFT F/AUTO,306
298,THEFT F/AUTO,402
297,THEFT F/AUTO,101
291,THEFT/OTHER,409
290,THEFT F/AUTO,107
289,THEFT F/AUTO,204
287,THEFT/OTHER,406
284,THEFT/OTHER,306
283,THEFT/OTHER,102
281,THEFT F/AUTO,202
277,THEFT/OTHER,401
276,THEFT F/AUTO,301
269,THEFT/OTHER,608
267,THEFT F/AUTO,603
261,THEFT/OTHER,403
260,THEFT F/AUTO,203
259,THEFT F/AUTO,604
259,THEFT F/AUTO,407
257,THEFT/OTHER,407
251,MOTOR VEHICLE THEFT,305
250,THEFT F/AUTO,201
248,THEFT F/AUTO,606
247,THEFT F/AUTO,209
245,MOTOR VEHICLE THEFT,602
244,THEFT/OTHER,604
243,THEFT/OTHER,607
234,THEFT/OTHER,402
230,THEFT F/AUTO,505
228,MOTOR VEHICLE THEFT,106
227,THEFT F/AUTO,103
222,MOTOR VEHICLE THEFT,604
206,MOTOR VEHICLE THEFT,603
203,THEFT F/AUTO,608
202,MOTOR VEHICLE THEFT,302
201,THEFT F/AUTO,605
198,THEFT F/AUTO,205
198,THEFT/OTHER,408
198,THEFT F/AUTO,403
197,THEFT/OTHER,606
197,THEFT F/AUTO,102
193,THEFT/OTHER,405
193,THEFT/OTHER,504
192,THEFT/OTHER,605
190,THEFT/OTHER,708
185,THEFT/OTHER,103
183,MOTOR VEHICLE THEFT,608
179,ROBBERY,603
174,MOTOR VEHICLE THEFT,208
171,ROBBERY,602
